,1274548,2259735,3135641,3198650,3199411,328271455,329083655,329635623,329747787,329817259,329995931,330001603,330096190,330103170,330122352,330500657,330647708,330871689,330929385,330975559,330976602,330993513,331027848,331064407,331064857,331311224,331361347,331376650,331639559,331724395,331738897,331740857
330500657,-4.0,6.0,2.0,-2.0,8.0,0.0,-2.0,2.0,2.0,6.0,6.0,2.0,0.0,-8.0,4.0,,-4.0,4.0,6.0,4.0,-4.0,-4.0,6.0,2.0,4.0,0.0,-4.0,4.0,-2.0,2.0,-4.0,-4.0
331376650,-6.0,4.0,4.0,-2.0,-5.0,-5.0,-2.0,-3.0,4.0,4.0,3.0,4.0,1.0,-3.0,4.0,-4.0,-1.0,8.0,2.0,6.0,6.0,4.0,4.0,4.0,3.0,0.0,-1.0,,4.0,-2.0,6.0,4.0
330976602,4.0,2.0,4.0,6.0,7.0,6.0,-1.0,4.0,7.0,6.0,6.0,2.0,6.0,-1.0,4.0,4.0,3.0,6.0,1.0,10.0,,8.0,4.0,9.0,0.0,-2.0,0.0,-6.0,6.0,6.0,2.0,0.0
329635623,-4.0,-2.0,0.0,-2.0,0.0,-4.0,-8.0,,0.0,2.0,-2.0,4.0,-4.0,-4.0,-8.0,-2.0,2.0,2.0,0.0,4.0,-4.0,0.0,0.0,2.0,2.0,2.0,-2.0,3.0,0.0,-6.0,0.0,-2.0
331738897,-4.0,2.0,3.0,2.0,2.0,-2.0,-8.0,0.0,8.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,6.0,2.0,4.0,-2.0,6.0,4.0,4.0,4.0,0.0,2.0,-6.0,0.0,2.0,,4.0
331027848,-2.0,-4.0,-4.0,4.0,-2.0,-4.0,-4.0,0.0,-2.0,0.0,-4.0,2.0,-4.0,-2.0,0.0,-6.0,-6.0,2.0,2.0,0.0,-4.0,-4.0,,4.0,0.0,-2.0,0.0,-4.0,2.0,-8.0,-4.0,-2.0
3198650,-6.0,0.0,-4.0,,0.0,ERROR,-4.0,2.0,4.0,6.0,2.0,ERROR,0.0,6.0,ERROR,2.0,6.0,2.0,6.0,6.0,-6.0,0.0,-4.0,0.0,6.0,-4.0,4.0,2.0,4.0,2.0,-2.0,-4.0
330929385,-12.0,0.0,-4.0,-6.0,-6.0,-4.0,-10.0,0.0,2.0,0.0,0.0,3.0,-6.0,-4.0,2.0,-6.0,2.0,0.0,,0.0,-1.0,2.0,-2.0,2.0,0.0,-6.0,2.0,-2.0,2.0,0.0,-2.0,-4.0
329083655,-1.0,6.0,4.0,4.0,8.0,-4.0,,8.0,4.0,10.0,8.0,1.0,4.0,0.0,6.0,2.0,4.0,10.0,10.0,6.0,1.0,10.0,4.0,8.0,8.0,8.0,8.0,2.0,10.0,-4.0,8.0,2.0
330122352,-3.0,1.0,-6.0,ERROR,4.0,-4.0,-6.0,8.0,ERROR,2.0,-2.0,2.0,0.0,2.0,,-4.0,-4.0,4.0,-2.0,0.0,-4.0,4.0,0.0,2.0,4.0,0.0,4.0,-4.0,2.0,-4.0,-4.0,2.0
330647708,-4.0,-1.0,-2.0,-6.0,0.0,2.0,-4.0,-2.0,-1.0,8.0,4.0,5.0,0.0,2.0,4.0,4.0,,4.0,-2.0,4.0,-3.0,2.0,6.0,6.0,6.0,-2.0,0.0,1.0,4.0,-2.0,0.0,-2.0
330001603,-8.0,2.0,-4.0,ERROR,8.0,-7.0,-1.0,-4.0,1.0,1.0,-1.0,,-2.0,-4.0,-2.0,-2.0,-5.0,1.0,-3.0,0.0,-2.0,0.0,-2.0,3.0,0.0,-8.0,-1.0,-4.0,-1.0,-6.0,-2.0,-4.0
330975559,-4.0,-6.0,-8.0,-6.0,0.0,-6.0,-6.0,-4.0,6.0,4.0,-2.0,0.0,2.0,0.0,0.0,-4.0,-4.0,-4.0,0.0,,-10.0,-2.0,0.0,-4.0,-1.0,-2.0,-4.0,-6.0,0.0,-2.0,-4.0,0.0
331064857,-8.0,-5.0,-10.0,-6.0,-4.0,-6.0,-8.0,-2.0,-4.0,0.0,0.0,0.0,-5.0,-2.0,-4.0,-4.0,-6.0,-4.0,0.0,1.0,0.0,-4.0,0.0,-2.0,,0.0,-2.0,-3.0,0.0,-5.0,-4.0,-8.0
328271455,-4.0,4.0,1.0,ERROR,10.0,,4.0,4.0,2.0,8.0,2.0,7.0,-4.0,6.0,4.0,0.0,-2.0,2.0,4.0,6.0,-6.0,0.0,4.0,6.0,6.0,4.0,4.0,5.0,4.0,-6.0,2.0,4.0
331724395,-1.0,2.0,-2.0,-2.0,6.0,6.0,4.0,6.0,0.0,8.0,4.0,6.0,-2.0,0.0,4.0,-2.0,2.0,6.0,0.0,2.0,-6.0,2.0,8.0,6.0,5.0,-8.0,4.0,2.0,0.0,,-2.0,0.0
329995931,-8.0,-6.0,-8.0,-2.0,0.0,-2.0,-8.0,2.0,-8.0,0.0,,1.0,0.0,3.0,2.0,-6.0,-4.0,-5.0,0.0,2.0,-6.0,-3.0,4.0,-4.0,0.0,-2.0,-4.0,-3.0,0.0,-4.0,-2.0,-2.0
